id,title,body,image,date,created_at
1,Annual Student Leadership Conference,"The annual Student Leadership Conference witnessed enthusiastic participation from students and faculty members. Sessions covered global challenges, education trends, and leadership development, with students sharing innovative ideas on shaping the future of higher education.",images/2.jpg,2025-05-12,2025-05-12 19:31:47
2,New Career Development Program Launched,"The annual Student Leadership Conference witnessed enthusiastic participation from students and faculty members. Sessions covered global challenges, education trends, and leadership development, with students sharing innovative ideas on shaping the future of higher education.",images/3.png,2025-04-20,2025-05-12 19:31:47
3,Grand Opening of University Research Center,"The university has officially launched a cutting-edge research center, focusing on innovation in biotechnology. Equipped with state-of-the-art technology, the center aims to support research projects benefiting students and faculty members. The initiative fosters collaborations with scientific institutions worldwide.",images/1.jpg,2025-04-10,2025-05-12 20:57:24
5,Entrepreneurship Workshop,"A dynamic entrepreneurship workshop was held, featuring industry experts guiding students on how to transform ideas into successful projects. Interactive sessions provided valuable insights into startup development and investment strategies.",images/5.jpg,2025-05-01,2025-05-12 20:58:54
6,Student Art Exhibition,"The Fine Arts Faculty organized an exhibition showcasing creative artworks by students. Paintings, sculptures, and digital designs were displayed, reflecting their talents and artistic vision.",images/6.jpg,2025-05-05,2025-05-12 20:58:54
7,Climate Change Awareness Seminar,Professors and environmental specialists hosted a seminar discussing climate change effects and possible solutions. The event encouraged students to engage in sustainability projects within their communities.,images/7.jpg,2025-05-10,2025-05-12 20:58:54
8,Class of 2025 Graduation Ceremony,"The university celebrated the graduation of the 2025 class with a grand ceremony. Families and faculty members gathered to honor the students for their achievements, marking an unforgettable milestone in their academic journey.",images/8.jpg,2025-05-15,2025-05-12 20:58:54
9,New Student App Launched,"A new app has been introduced to streamline university services, allowing students to register for courses, access campus news, and interact with academic advisors. The app aims to enhance the student experience with seamless digital tools.",images/9.png,2025-05-20,2025-05-12 20:58:54
10,Health Awareness Campaign,A university-wide health campaign was conducted to educate students about proper nutrition and physical wellness. Free medical checkups and consultations were provided as part of the initiative.,images/10.png,2025-05-25,2025-05-12 20:58:54
11,Intercollege Sports Championship,"The university hosted an exciting sports championship featuring football, basketball, and track events. The tournament encouraged teamwork and healthy competition among students from different colleges. Victorious teams were awarded trophies at the closing ceremony.",images/4.jpg,2025-04-25,2025-05-12 20:58:54
